3,0
4,0
5,1
6,4
7,0
8,3
9,8
10,0
11,3
12,3
13,1
14,8
15,5
16,0
17,6
18,0
19,2
20,17
21,0
22,3
23,10
24,0
25,3
26,3
27,1
28,14
29,0
30,5
31,15
32,0
33,3
34,7
35,0
36,3
37,3
38,1
39,11
40,0
41,5
42,11
43,3
44,6
45,27
46,0
47,6
48,3
49,5
50,8
51,36
52,0
53,6
54,6
55,1
56,17
57,36
58,6
59,4
60,53
61,0
62,9
63,0
64,2
65,45
66,0
67,3
68,19
69,0
70,3
71,3
72,1
73,17
74,17
75,1
76,3
77,5
78,28
79,0
80,10
81,57
82,0
83,3
84,7
85,50
86,0
87,4
88,28
89,10
90,9
91,28
92,3
93,9
94,3
95,2
96,31
97,0
98,11
99,56
100,0
101,3
102,7
103,18
104,0
105,4
106,18
107,3
108,6
109,50
110,24
111,0
112,7
113,10
114,24
115,4
116,10
117,3
118,10
119,2
120,24
121,6
122,13
123,0
124,12
125,0
126,2
127,7
128,15
129,97
130,0
131,5
132,54
133,0
134,3
135,17
136,61
137,0
138,4
139,23
140,0
141,3
142,7
143,15
144,15
145,1
146,70
147,0
148,7
149,6
150,28
151,59
152,0
153,5
154,22
155,0
156,3
157,15
158,13
159,36
160,102
161,0
162,6
163,13
164,5
165,11
166,67
167,0
168,6
169,6
170,1
171,25
172,0
173,5
174,9
175,81
176,0
177,4
178,39
179,0
180,3
181,24
182,61
183,46
184,0
185,5
186,12
187,62
188,0
189,4
190,12
191,4
192,2
193,66
194,0
195,6
196,26
197,0
198,3
199,18
200,93
201,0
202,4
203,11
204,38
205,0
206,4
207,4
208,1
209,38
210,5
211,25
212,40
213,0
214,8
215,164
216,0
217,3
218,19
219,150
220,0
221,4
222,14
223,194
224,0
225,4
226,4
227,1
228,19
229,10
230,111
231,0
232,7
233,84
234,0
235,3
236,18
237,37
238,0
239,4
240,13
241,77
242,0
243,4
244,4
245,1
246,18
247,10
248,18
249,2
250,57
251,169
252,0
253,10
254,6
255,59
256,104
257,0
258,5
259,48
260,0
261,3
262,26
263,66
264,70
265,118
266,0
267,6
268,13
269,28
270,119
271,0
272,5
273,14
274,51
275,0
276,4
277,32
278,0
279,3
280,18
281,32
282,4
283,6
284,16
285,0
286,7
287,54
288,155
289,0
290,4
291,8
292,77
293,51
294,19
295,66
296,32
297,15
298,140
299,0
300,10
301,47
302,0
303,3
304,24
305,123
306,0
307,4
308,17
309,173
310,0
311,4
312,4
313,1
314,68
315,0
316,5
317,44
318,0
319,3
320,16
321,36
322,162
323,0
324,5
325,8
326,34
327,0
328,4
329,16
330,9
331,156
332,0
333,5
334,9
335,4
336,7
337,50
338,228
339,0
340,7
341,4
342,6
343,59
344,88
345,0
346,6
347,4
348,6
349,2
350,100
351,0
352,6
353,4
354,6
355,2
356,6
357,2
358,2
359,1
360,46
361,177
362,0
363,11
364,160
365,0
366,3
367,47
368,66
369,73
370,0
371,5
372,38
373,163
374,0
375,4
376,22
377,222
378,0
379,4
380,4
381,1
382,22
383,6
384,27
385,339
386,0
387,8
388,62
389,201
390,0
391,4
392,11
393,29
394,0
395,4
396,4
397,1
398,16
399,69
400,0
401,6
402,18
403,122
404,0
405,4
406,9
407,72
408,0
409,4
410,4
411,1
412,14
413,139
414,0
415,6
416,14
417,4
418,7
419,78
420,0
421,6
422,6
423,1
424,12
425,234
426,0
427,6
428,5
429,57
430,179
431,0
432,5
433,4
434,16
435,36
436,114
437,0
438,6
439,11
440,47
441,73
442,72
443,35
444,0
445,7
446,27
447,62
448,59
449,105
450,0
451,6
452,13
453,184
454,0
455,4
456,22
457,74
458,0
459,4
460,4
461,1
462,38
463,90
464,0
465,6
466,14
467,50
468,130
469,0
470,5
471,38
472,9
473,66
474,105
475,25
476,264
477,0
478,8
479,91
480,0
481,3
482,115
483,0
484,3
485,3
486,1
487,25
488,12
489,64
490,0
491,7
492,46
493,132
494,0
495,4
496,35
497,53
498,437
499,0
500,5
501,30
502,0
503,3
504,18
505,102
506,345
507,0
508,5
509,8
510,31
511,414
512,0
513,5
514,5
515,1
516,29
517,123
518,212
519,0
520,7
521,29
522,5
523,8
524,14
525,58
526,0
527,7
528,7
529,1
530,14
531,6
532,66
533,59
534,85
535,0
536,9
537,64
538,48
539,279
540,0
541,5
542,19
543,248
544,0
545,4
546,50
547,79
548,0
549,4
550,4
551,1
552,22
553,96
554,0
555,6
556,24
557,252
558,0
559,4
560,9
561,24
562,5
563,21
564,0
565,6
566,10
567,266
568,0
569,4
570,10
571,4
572,2
573,214
574,0
575,6
576,10
577,6
578,2
579,6
580,2
581,2
582,1
583,31
584,73
585,143
586,0
587,12
588,99
589,0
590,3
591,87
592,0
593,3
594,3
595,1
596,13
597,144
598,0
599,6
600,20
601,0
602,3
603,8
604,80
605,0
606,4
607,35
608,111
609,378
610,0
611,5
612,49
613,0
614,3
615,12
616,28
617,347
618,0
619,5
620,8
621,17
622,313
623,0
624,5
625,5
626,1
627,31
628,44
629,311
630,0
631,7
632,103
633,0
634,3
635,20
636,35
637,29
638,116
639,0
640,6
641,41
642,0
643,3
644,9
645,84
646,412
647,0
648,5
649,23
650,510
651,0
652,4
653,46
654,161
655,0
656,4
657,4
658,1
659,32
660,363
661,0
662,6
663,22
664,111
665,56
666,566
667,0
668,6
669,6
670,1
671,12
672,56
673,7
674,42
675,0
676,8
677,56
678,5
679,30
680,178
